time,city,description,origin,source
2019-06-13 00:17:00,נירים,ירי רקטות וטילים,Gaza,github_csv
2019-06-13 20:56:00,איבים,ירי רקטות וטילים,Gaza,github_csv
2019-06-13 20:56:00,שדרות,ירי רקטות וטילים,Gaza,github_csv
2019-06-18 10:06:00,אשדוד - יא,ירי רקטות וטילים,Gaza,github_csv
2019-06-18 10:06:00,מרינה,ירי רקטות וטילים,Gaza,github_csv
2019-06-18 11:55:00,דישון,ירי רקטות וטילים,Lebanon,github_csv
2019-07-01 09:19:00,נחל עוז,ירי רקטות וטילים,Gaza,github_csv
2019-07-03 07:20:00,איבים,ירי רקטות וטילים,Gaza,github_csv
2019-07-03 07:20:00,שדרות,ירי רקטות וטילים,Gaza,github_csv
2019-07-12 21:58:00,ניר יצחק,ירי רקטות וטילים,Gaza,github_csv
2019-07-12 21:58:00,סופה,ירי רקטות וטילים,Gaza,github_csv
2019-07-13 10:31:00,כפר עזה,ירי רקטות וטילים,Gaza,github_csv
2019-07-13 10:31:00,נחל עוז,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,אביאל,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,אור עקיבא,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,אזור תעשייה קיסריה,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,אלוני יצחק,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,באקה אל גרבייה,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,בית חנניה,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,בנימינה,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,ג'סר א-זרקא,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,ג'ת,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,גבעת ניל''י,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,גבעת עדה,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,גן השומרון,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,גן שמואל,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,זכרון יעקב,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,כפר גליקסון,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,כפר פינס,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,כרכור,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,להבות חביבה,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,מגל,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,מייסר,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,מעגן מיכאל,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,מעיין צבי,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,מצר,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,משמרות,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,עין עירון,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,עין שמר,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,עמיקם,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,פרדס חנה,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,קיסריה,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,רגבים,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,שדות ים,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,אום אל פחם,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,אום אל קוטוף,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,אל עריאן,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,ברטעה,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,ברקאי,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,גבעת חביבה,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,חריש,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,כפר קרע,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,מאור,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,מועאוויה,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,מי עמי,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,מעלה עירון,ירי רקטות וטילים,Gaza,github_csv
2019-07-31 10:07:00,מענית,ירי רקטות וטילים,Gaza,github_csv
